localminute,dataid,meter_value
2015-10-01 10:55:36-05,1507,390370
2015-10-01 10:55:44-05,739,88870
2015-10-01 10:55:45-05,7674,265082
2015-10-01 10:55:49-05,4998,162996
2015-10-01 10:55:54-05,1283,167064
2015-10-01 10:55:55-05,7017,375932
2015-10-01 10:56:13-05,871,106464
2015-10-01 10:56:49-05,7030,141686
2015-10-01 10:56:58-05,7429,132644
2015-10-01 10:57:11-05,5131,104136
2015-10-01 10:57:13-05,739,88870
2015-10-01 10:57:28-05,4029,299900
2015-10-01 10:57:30-05,3893,89556
2015-10-01 10:57:37-05,8156,251826
2015-10-01 10:57:57-05,5810,97516
2015-10-01 10:57:59-05,739,88870
2015-10-01 10:57:59-05,7429,132644
2015-10-01 10:58:09-05,1800,125012
2015-10-01 10:58:11-05,94,116646
2015-10-01 10:58:28-05,94,116646
2015-10-01 10:58:29-05,739,88870
2015-10-01 10:58:32-05,2034,72394
2015-10-01 10:58:53-05,744,134316
2015-10-01 10:59:08-05,3134,162386
2015-10-01 10:59:20-05,1507,390370
2015-10-01 10:59:46-05,1718,161082
2015-10-01 11:00:02-05,2034,72394
2015-10-01 11:00:29-05,3893,89556
2015-10-01 11:00:37-05,6910,179128
2015-10-01 11:00:37-05,9631,108358
2015-10-01 11:00:49-05,9729,122196
2015-10-01 11:01:15-05,3527,235120
2015-10-01 11:01:22-05,9134,230548
2015-10-01 11:01:26-05,7017,375934
2015-10-01 11:01:28-05,1086,83338
2015-10-01 11:01:36-05,7287,221050
2015-10-01 11:01:53-05,744,134316
2015-10-01 11:02:28-05,1697,266194
2015-10-01 11:02:28-05,94,116646
2015-10-01 11:02:29-05,3893,89556
2015-10-01 11:02:32-05,4296,168934
2015-10-01 11:02:33-05,484,99316
2015-10-01 11:02:37-05,252,329242
2015-10-01 11:02:37-05,8156,251826
2015-10-01 11:03:00-05,94,116646
2015-10-01 11:03:02-05,2034,72394
2015-10-01 11:03:07-05,3778,117182
2015-10-01 11:03:08-05,5810,97516
2015-10-01 11:03:10-05,7794,433384
2015-10-01 11:03:20-05,1507,390370
2015-10-01 11:03:23-05,9956,95870
2015-10-01 11:03:27-05,370,87882
2015-10-01 11:03:47-05,2034,72394
2015-10-01 11:03:53-05,5810,97516
2015-10-01 11:04:14-05,9295,157582
2015-10-01 11:04:34-05,6412,133032
2015-10-01 11:04:39-05,1714,147060
2015-10-01 11:04:43-05,4767,123024
2015-10-01 11:05:05-05,4732,183848
2015-10-01 11:05:32-05,2034,72394
2015-10-01 11:05:48-05,871,106464
2015-10-01 11:06:17-05,1589,193942
2015-10-01 11:06:45-05,6910,179128
2015-10-01 11:06:57-05,94,116646
2015-10-01 11:06:58-05,3577,172086
2015-10-01 11:07:01-05,8890,197184
2015-10-01 11:07:05-05,1507,390370
2015-10-01 11:07:15-05,7674,265082
2015-10-01 11:07:21-05,7287,221050
2015-10-01 11:07:26-05,2470,220446
2015-10-01 11:07:33-05,77,58846
2015-10-01 11:07:34-05,7900,178798
2015-10-01 11:07:45-05,3893,89556
2015-10-01 11:07:50-05,7287,221050
2015-10-01 11:08:10-05,7017,375942
2015-10-01 11:08:29-05,9295,157582
2015-10-01 11:08:33-05,6412,133032
2015-10-01 11:08:48-05,871,106464
2015-10-01 11:09:01-05,1714,147060
2015-10-01 11:09:05-05,3723,242102
2015-10-01 11:09:13-05,3635,151330
2015-10-01 11:09:18-05,739,88870
2015-10-01 11:09:28-05,2129,172174
2015-10-01 11:09:36-05,1507,390370
2015-10-01 11:09:47-05,2034,72394
2015-10-01 11:09:57-05,3778,117182
2015-10-01 11:09:59-05,9295,157582
2015-10-01 11:10:00-05,3893,89556
2015-10-01 11:10:01-05,5814,802858
2015-10-01 11:10:11-05,7017,375944
2015-10-01 11:10:19-05,739,88870
2015-10-01 11:10:24-05,1185,139348
2015-10-01 11:10:42-05,2461,120214
2015-10-01 11:10:46-05,5403,112918
2015-10-01 11:10:46-05,9956,95870
2015-10-01 11:11:07-05,871,106464
2015-10-01 11:11:27-05,2449,171138
2015-10-01 11:11:30-05,7739,149762
2015-10-01 11:11:41-05,7017,375944
2015-10-01 11:11:43-05,1086,83338
2015-10-01 11:11:46-05,5403,112918
2015-10-01 11:11:53-05,1718,161082
2015-10-01 11:11:58-05,5810,97516
2015-10-01 11:12:39-05,739,88870
2015-10-01 11:12:51-05,7287,221050
2015-10-01 11:12:54-05,744,134316
2015-10-01 11:12:56-05,3134,162386
2015-10-01 11:13:17-05,3367,311098
2015-10-01 11:13:19-05,6412,133032
2015-10-01 11:13:58-05,484,99316
2015-10-01 11:14:11-05,7794,433386
2015-10-01 11:14:20-05,871,106464
2015-10-01 11:14:34-05,6412,133032
2015-10-01 11:14:49-05,1714,147060
2015-10-01 11:15:03-05,2638,171844
2015-10-01 11:15:18-05,871,106464
2015-10-01 11:15:22-05,483,360458
2015-10-01 11:15:30-05,4352,218224
2015-10-01 11:15:32-05,5810,97516
2015-10-01 11:15:32-05,3778,117182
2015-10-01 11:15:32-05,2034,72394
2015-10-01 11:15:52-05,94,116646
2015-10-01 11:16:08-05,4031,104666
2015-10-01 11:16:17-05,2034,72394
2015-10-01 11:16:38-05,2461,120214
2015-10-01 11:16:46-05,1589,193942
2015-10-01 11:17:12-05,9134,230548
2015-10-01 11:17:22-05,6910,179128
2015-10-01 11:17:25-05,9474,206444
2015-10-01 11:17:29-05,7117,211826
2015-10-01 11:17:38-05,871,106464
2015-10-01 11:17:46-05,5403,112918
2015-10-01 11:17:51-05,7287,221050
2015-10-01 11:18:00-05,4514,382190
2015-10-01 11:18:13-05,484,99316
2015-10-01 11:18:17-05,2018,204514
2015-10-01 11:18:17-05,2335,202098
2015-10-01 11:18:18-05,3039,133662
2015-10-01 11:18:35-05,8467,87008
2015-10-01 11:18:51-05,1283,167064
2015-10-01 11:18:51-05,1714,147060
2015-10-01 11:19:16-05,4352,218224
2015-10-01 11:19:20-05,739,88870
2015-10-01 11:19:37-05,252,329242
2015-10-01 11:19:56-05,1718,161082
2015-10-01 11:20:05-05,1507,390370
2015-10-01 11:20:37-05,2461,120214
2015-10-01 11:20:47-05,1589,193942
2015-10-01 11:21:06-05,7287,221050
2015-10-01 11:21:54-05,1791,130820
2015-10-01 11:22:10-05,9121,193630
2015-10-01 11:22:45-05,7674,265084
2015-10-01 11:22:49-05,5810,97516
2015-10-01 11:22:51-05,94,116646
2015-10-01 11:22:53-05,4514,382190
2015-10-01 11:22:58-05,9295,157582
2015-10-01 11:23:05-05,5131,104136
2015-10-01 11:23:13-05,871,106464
2015-10-01 11:23:20-05,7287,221050
2015-10-01 11:23:32-05,2034,72396
2015-10-01 11:23:37-05,9052,297562
2015-10-01 11:23:39-05,1714,147060
2015-10-01 11:23:44-05,5403,112918
