,localminute,dataid,meter_value
158,2015-10-01 02:57:25-05,94,116644
159,2015-10-01 03:00:04-05,94,116644
160,2015-10-01 03:00:18-05,94,116644
161,2015-10-01 03:08:18-05,94,116644
162,2015-10-01 03:12:42-05,94,116644
163,2015-10-01 03:24:18-05,94,116644
164,2015-10-01 03:35:54-05,94,116644
165,2015-10-01 03:37:45-05,94,116644
166,2015-10-01 03:39:03-05,94,116644
167,2015-10-01 03:45:41-05,94,116644
168,2015-10-01 03:46:53-05,94,116644
169,2015-10-01 03:52:38-05,94,116644
170,2015-10-01 03:54:26-05,94,116644
171,2015-10-01 04:06:13-05,94,116644
172,2015-10-01 04:16:41-05,94,116644
173,2015-10-01 04:19:10-05,94,116644
174,2015-10-01 04:54:51-05,94,116644
175,2015-10-01 04:56:53-05,94,116644
176,2015-10-01 05:00:54-05,94,116644
177,2015-10-01 05:07:26-05,94,116644
178,2015-10-01 05:07:39-05,94,116644
179,2015-10-01 05:08:59-05,94,116644
180,2015-10-01 05:13:16-05,94,116644
181,2015-10-01 05:16:56-05,94,116644
182,2015-10-01 05:20:40-05,94,116644
183,2015-10-01 05:33:51-05,94,116644
184,2015-10-01 05:41:21-05,94,116644
185,2015-10-01 05:45:16-05,94,116644
186,2015-10-01 05:48:47-05,94,116644
187,2015-10-01 05:50:43-05,94,116644
188,2015-10-01 05:50:56-05,94,116644
189,2015-10-01 05:51:57-05,94,116644
190,2015-10-01 06:07:08-05,94,116644
191,2015-10-01 06:11:42-05,94,116644
192,2015-10-01 06:15:33-05,94,116644
193,2015-10-01 06:16:16-05,94,116644
194,2015-10-01 06:20:45-05,94,116644
195,2015-10-01 06:43:38-05,94,116644
196,2015-10-01 06:46:59-05,94,116644
197,2015-10-01 06:51:01-05,94,116644
198,2015-10-01 06:51:16-05,94,116644
199,2015-10-01 07:01:52-05,94,116646
200,2015-10-01 07:05:21-05,94,116646
201,2015-10-01 07:08:26-05,94,116646
202,2015-10-01 07:12:45-05,94,116646
203,2015-10-01 07:17:48-05,94,116646
204,2015-10-01 07:24:15-05,94,116646
205,2015-10-01 07:41:02-05,94,116646
206,2015-10-01 07:58:38-05,94,116646
207,2015-10-01 07:59:08-05,94,116646
208,2015-10-01 08:00:21-05,94,116646
209,2015-10-01 08:02:39-05,94,116646
210,2015-10-01 08:03:06-05,94,116646
211,2015-10-01 08:08:20-05,94,116646
212,2015-10-01 08:13:51-05,94,116646
213,2015-10-01 08:31:42-05,94,116646
214,2015-10-01 08:33:12-05,94,116646
215,2015-10-01 08:41:49-05,94,116646
216,2015-10-01 08:44:19-05,94,116646
217,2015-10-01 08:48:52-05,94,116646
218,2015-10-01 08:54:15-05,94,116646
219,2015-10-01 08:56:13-05,94,116646
220,2015-10-01 08:57:00-05,94,116646
221,2015-10-01 09:17:18-05,94,116646
222,2015-10-01 09:18:45-05,94,116646
223,2015-10-01 09:40:13-05,94,116646
224,2015-10-01 09:47:49-05,94,116646
225,2015-10-01 09:58:43-05,94,116646
226,2015-10-01 09:59:28-05,94,116646
227,2015-10-01 10:02:02-05,94,116646
228,2015-10-01 10:41:07-05,94,116646
229,2015-10-01 10:41:57-05,94,116646
230,2015-10-01 10:48:20-05,94,116646
231,2015-10-01 10:49:19-05,94,116646
232,2015-10-01 10:50:19-05,94,116646
233,2015-10-01 10:54:09-05,94,116646
234,2015-10-01 10:58:11-05,94,116646
235,2015-10-01 10:58:28-05,94,116646
236,2015-10-01 11:02:28-05,94,116646
237,2015-10-01 11:03:00-05,94,116646
238,2015-10-01 11:06:57-05,94,116646
239,2015-10-01 11:15:52-05,94,116646
240,2015-10-01 11:22:51-05,94,116646
241,2015-10-01 11:26:42-05,94,116646
242,2015-10-01 11:26:59-05,94,116646
243,2015-10-01 11:38:25-05,94,116646
244,2015-10-01 11:52:19-05,94,116646
245,2015-10-01 11:59:20-05,94,116646
246,2015-10-01 12:07:03-05,94,116646
247,2015-10-01 12:12:21-05,94,116646
248,2015-10-01 12:16:51-05,94,116646
249,2015-10-01 12:25:37-05,94,116646
250,2015-10-01 12:33:16-05,94,116646
251,2015-10-01 12:33:45-05,94,116646
252,2015-10-01 12:46:50-05,94,116646
253,2015-10-01 12:55:47-05,94,116648
254,2015-10-01 12:58:20-05,94,116648
255,2015-10-01 12:58:51-05,94,116648
256,2015-10-01 13:06:02-05,94,116648
257,2015-10-01 13:11:02-05,94,116648
