dataid,totalConsumption,morningTotal,morningMean,morningSTD,noonTotal,noonMean,noonSTD,nightTotal,nightMean,nightSTD,elseConsumption
7900,25748,5332,29.136612021857925,25.164983988127172,4478,24.469945355191257,22.450623988730307,4267,23.316939890710383,25.191465452000557,11671
7919,23870,4226,23.21978021978022,15.915851658570794,3417,18.774725274725274,14.975394422563275,4679,25.708791208791208,17.992911597893016,11548
7965,17800,3435,20.205882352941178,10.969957401828134,2995,17.61764705882353,7.491229012033116,2883,16.958823529411763,6.606908934951388,8487
7989,14254,6097,38.8343949044586,28.74882376630323,1310,8.343949044585987,11.951448157753404,3156,20.101910828025478,13.339842488673606,3691
8059,10562,2426,15.753246753246753,18.79945829846531,1477,9.590909090909092,8.919272607610914,1558,10.116883116883116,10.623392499908753,5101
8084,10500,2916,15.934426229508198,25.948373830593084,1730,9.453551912568306,13.86179937524116,2049,11.19672131147541,16.131447418244235,3805
8086,20978,8375,45.76502732240437,52.04825924632854,3461,18.91256830601093,23.18523662223314,2894,15.814207650273223,17.268323294388033,6248
8155,18200,4192,26.03726708074534,28.653615252971374,1767,10.975155279503106,18.635086892343836,2169,13.472049689440993,20.941225682033366,10072
8156,18474,5517,30.147540983606557,33.919787766876716,1820,9.94535519125683,13.547216267177777,3062,16.73224043715847,28.20396823041378,8075
8244,3406,1423,74.89473684210526,32.340124559279225,426,22.42105263157895,16.2685223651258,323,17.0,11.863255965596593,1234
8386,10050,1991,16.591666666666665,13.459504592996314,1726,14.383333333333333,11.046253764160149,1483,12.358333333333333,10.4161699881589,4850
8467,9556,2027,11.137362637362637,12.532938127161698,1488,8.175824175824175,12.197183431489155,2058,11.307692307692308,13.89022290954159,3983
8703,11462,2093,18.52212389380531,10.903516803073941,1898,16.79646017699115,9.68363210951784,1796,15.893805309734514,9.342417143651288,5675
8829,20010,7183,39.25136612021858,39.91127024625043,1776,9.704918032786885,15.174767951119733,3066,16.75409836065574,19.386764459519913,7985
8890,30162,6707,36.650273224043715,34.46702847415072,2240,12.240437158469945,20.191084539738316,4084,22.316939890710383,24.919500723706147,17131
8967,2128,578,3.6815286624203822,8.615670966223295,255,1.624203821656051,2.7816826066361036,551,3.5095541401273884,7.03097589913396,744
9052,27936,4972,30.88198757763975,32.422938525577635,2621,16.279503105590063,24.49317592379235,4469,27.757763975155278,29.052699257222688,15874
9121,25192,7193,39.30601092896175,31.867456324782225,3881,21.207650273224044,20.417782521925925,3215,17.56830601092896,14.751659381488247,10903
9134,39492,12243,66.90163934426229,52.40240627208736,2926,15.989071038251366,23.348626308696414,7589,41.46994535519126,48.90794211205741,16734
9160,3018,599,42.785714285714285,20.40370614593819,537,38.357142857142854,20.345610768689653,444,31.714285714285715,19.86536314949275,1438
9278,15096,3019,16.497267759562842,32.190667336560665,2217,12.114754098360656,19.916847656392505,4534,24.775956284153004,27.62767819103873,5326
9295,26108,7305,39.91803278688525,36.47214450908832,3460,18.907103825136613,20.846488187564052,4206,22.983606557377048,19.449380961347565,11137
9474,27832,5454,29.967032967032967,23.830422217511114,4316,23.714285714285715,18.030368590873646,5178,28.45054945054945,18.42076213732977,12884
9600,3366,883,46.473684210526315,25.173855320346757,355,18.68421052631579,11.761008869985993,547,28.789473684210527,16.813462486222853,1581
9620,33960,5664,41.64705882352941,3.5902838896533655,5664,41.64705882352941,3.590283889653365,5664,41.64705882352941,3.590283889653365,16968
9631,16152,4743,25.918032786885245,31.12216107199618,2073,11.327868852459016,16.170256691504285,2714,14.830601092896174,14.56580107103187,6622
9639,42754,11166,64.17241379310344,43.38883454460514,5116,29.402298850574713,29.46338455096503,4751,27.304597701149426,31.329437547170613,21721
9729,15960,6185,33.797814207650276,37.71981253290363,1298,7.092896174863388,9.635266723667533,2213,12.092896174863387,11.951500526553762,6264
9766,21390,4100,22.404371584699454,19.15796806689292,3401,18.584699453551913,15.776519378731358,3690,20.16393442622951,14.172065567297787,10199
9849,5660,1111,6.0710382513661205,4.872178462017781,1048,5.726775956284153,8.34185535763645,1403,7.666666666666667,7.609552045390834,2098
9956,7472,1758,16.429906542056074,19.830172493267956,993,9.280373831775702,10.778825203028669,1252,11.700934579439252,14.258766743063838,3469
9982,13978,1758,18.633879781420767,19.59765653791027,993,9.693989071038251,9.557666046801154,1252,16.14207650273224,12.510172038437593,3469
